manufacturer,year,cpu_brand,cpu_tier,cores,base_clock,boost_clock,cpu_score,gpu_type,gpu_score,ram_gb,ram_speed_mhz,storage_type,storage_gb,storage_speed_mb_s,display_in,resolution,weight_kg,battery_mah,tdp_watt,price_usd,performance_score
Lenovo,2020,Intel,high,8,3.28,4.31,100,Integrated,21,16,3600,NVMe SSD,256,3785.4492626038805,15.8,1920x1080,1.5,3500,44,250,48.6
Asus,2019,AMD,mid,6,2.9,3.71,100,NVIDIA RTX,851,16,3600,NVMe SSD,1024,2401.8440992445867,16.1,2560x1440,1.78,6000,69,250,405.0
MSI,2016,AMD,mid,6,2.49,3.19,100,Integrated,20,16,3200,NVMe SSD,128,3662.540087858068,16.4,1920x1080,2.18,6000,27,250,141.9
Asus,2016,AMD,low,4,2.17,2.77,100,Integrated,131,8,3600,NVMe SSD,256,2049.126485576956,15.0,1920x1080,1.97,4500,16,250,65.4
HP,2024,AMD,high,8,3.39,4.42,100,NVIDIA RTX,1108,16,3200,NVMe SSD,2048,2879.6178421117743,14.3,1920x1080,1.6,6000,77,250,420.7
Lenovo,2024,Intel,mid,8,3.06,4.01,100,NVIDIA GTX,543,8,3200,NVMe SSD,1024,2851.777953319689,17.1,3840x2160,1.85,4500,68,250,294.1
Asus,2020,AMD,mid,8,2.85,3.43,100,Integrated,73,16,2666,SATA SSD,1024,439.73817544659283,14.6,2560x1440,2.35,6000,30,250,53.2
Apple,2017,Apple,high,8,3.43,5.01,100,NVIDIA RTX,924,32,2666,SATA SSD,1024,526.0414348950582,16.2,1920x1080,2.14,6000,75,250,420.0
Lenovo,2024,Intel,low,4,2.05,2.62,100,NVIDIA GTX,686,8,3200,NVMe SSD,512,3852.8099043715038,15.8,1920x1080,2.27,4500,63,250,328.6
MSI,2021,Intel,mid,6,2.33,2.76,100,Integrated,111,16,2400,SATA SSD,512,548.4048581641991,16.2,3840x2160,1.95,4500,30,250,122.2
Apple,2025,AMD,low,4,2.17,2.79,100,NVIDIA GTX,662,8,2666,HDD,512,123.26853449415445,15.2,1920x1080,1.68,4500,41,250,309.1
Acer,2016,Intel,mid,6,3.27,3.78,100,Integrated,20,8,3600,NVMe SSD,2048,3397.8216026035075,15.7,1920x1080,1.7,3500,24,250,89.8
Dell,2023,Intel,mid,6,2.9,3.64,100,NVIDIA RTX,1125,16,2400,SATA SSD,256,508.31747709476366,17.0,1920x1080,2.31,3500,73,250,456.1
MSI,2023,AMD,mid,6,2.7,3.16,100,NVIDIA GTX,544,8,3600,NVMe SSD,256,2377.335290331638,15.9,3840x2160,2.04,4500,79,250,288.2
HP,2023,AMD,mid,6,2.62,3.03,100,Integrated,132,8,2666,NVMe SSD,128,1883.6441829886883,17.1,1920x1080,2.19,8000,16,250,168.5
MSI,2023,AMD,mid,6,2.71,3.13,100,AMD Radeon,663,16,2666,NVMe SSD,512,2224.074775117703,15.8,1920x1080,2.4,3500,54,250,293.3
Acer,2021,Intel,low,4,2.32,2.73,100,Integrated,98,8,3000,SATA SSD,1024,427.4848576830043,14.7,1366x768,1.73,6000,28,250,52.0
Asus,2020,AMD,low,4,2.01,2.47,100,NVIDIA RTX,1589,8,2666,NVMe SSD,128,2258.145499798458,14.5,1920x1080,1.62,6000,58,250,565.2
Asus,2016,AMD,high,8,3.06,4.63,100,AMD Radeon,520,32,2666,HDD,128,132.53008850541065,17.9,1920x1080,2.13,8000,84,250,258.6
Lenovo,2021,AMD,mid,6,2.58,3.52,100,Integrated,114,8,2133,NVMe SSD,256,3474.869513457627,17.1,2560x1440,2.12,8000,37,250,99.8
HP,2025,Intel,mid,8,2.6,3.11,100,Integrated,90,16,3200,NVMe SSD,128,3590.496867091894,15.3,2560x1440,2.2,6000,31,250,124.0
Lenovo,2020,Intel,low,2,2.11,2.72,100,NVIDIA GTX,528,8,3600,HDD,1024,102.28284474746846,16.1,1920x1080,2.21,3500,44,250,236.0
MSI,2023,Intel,high,8,2.69,4.02,100,Integrated,130,16,3200,HDD,512,164.50980192359395,15.4,2560x1440,1.9,3500,49,250,75.6
Lenovo,2020,AMD,low,2,2.62,3.18,100,Integrated,99,8,4266,NVMe SSD,256,3532.541899733719,15.6,1366x768,1.89,4500,0,250,66.3
MSI,2020,Intel,mid,6,2.69,3.2,100,AMD Radeon,809,8,4266,NVMe SSD,256,3551.0087624039033,14.8,1366x768,2.34,4500,68,250,261.0
MSI,2021,AMD,low,2,2.31,3.01,100,NVIDIA GTX,335,8,3000,NVMe SSD,256,3617.780691576682,16.6,1920x1080,2.1,3500,51,250,189.1
MSI,2025,Intel,mid,6,2.79,3.31,100,AMD Radeon,1107,8,2666,NVMe SSD,256,2722.510550336989,13.5,2560x1440,1.76,3500,57,250,444.9
Lenovo,2023,Apple,low,4,2.34,2.8,100,NVIDIA GTX,591,8,3000,NVMe SSD,256,2393.680892543877,16.2,1920x1080,2.38,8000,48,250,196.6
Asus,2025,AMD,high,8,2.68,3.45,100,AMD Radeon,736,16,4266,NVMe SSD,128,3261.9797571097643,15.1,1920x1080,2.13,6000,68,250,344.8
HP,2021,Intel,high,8,2.44,4.04,155,Integrated,106,32,2666,NVMe SSD,512,2271.088353737153,17.3,2560x1440,1.86,6000,38,250,144.7
MSI,2021,Intel,mid,8,2.77,3.57,100,NVIDIA GTX,455,16,2666,NVMe SSD,1024,3139.707731834943,14.6,1920x1080,2.1,4500,77,250,248.8
HP,2024,Intel,low,4,2.45,3.1,100,NVIDIA GTX,940,8,3200,SATA SSD,1024,466.96289471285974,12.6,1920x1080,2.01,3500,54,250,396.2
MSI,2016,Intel,mid,8,2.26,3.0,100,AMD Radeon,434,16,2666,SATA SSD,128,471.7679340086085,17.4,1920x1080,1.54,3500,65,250,271.0
Acer,2024,AMD,mid,4,2.58,3.17,100,NVIDIA GTX,622,16,2400,SATA SSD,512,500.20160551026964,15.6,1920x1080,1.72,4500,56,250,268.2
Apple,2024,AMD,mid,8,2.87,3.5,100,NVIDIA GTX,824,16,3000,NVMe SSD,2048,3189.240102358153,17.1,1920x1080,1.87,3500,64,250,350.6
Dell,2024,AMD,mid,4,2.52,3.15,100,Integrated,72,8,3200,NVMe SSD,256,3334.722025222814,15.7,1920x1080,2.01,4500,36,250,109.0
Dell,2024,AMD,high,8,2.63,3.84,100,Integrated,92,16,3600,SATA SSD,512,413.6228796565819,14.6,2560x1440,1.74,4500,35,250,129.2
HP,2023,AMD,high,8,2.95,4.22,100,NVIDIA GTX,674,32,4266,NVMe SSD,128,1882.193063226906,13.7,1920x1080,1.58,6000,78,250,379.7
Apple,2022,Intel,mid,6,3.09,3.99,100,AMD Radeon,628,16,3600,SATA SSD,128,572.6884437821568,15.2,1920x1080,2.33,8000,62,250,254.1
HP,2023,Apple,mid,8,2.48,3.1,117,NVIDIA GTX,520,8,2666,SATA SSD,1024,406.7200923333587,17.3,1366x768,2.58,3500,76,250,224.0
HP,2023,Intel,mid,4,2.77,3.28,100,AMD Radeon,760,16,2400,SATA SSD,256,575.3976436713348,15.3,1920x1080,1.68,4500,74,250,284.6
Apple,2024,AMD,mid,8,3.31,4.16,102,NVIDIA GTX,533,8,3200,NVMe SSD,256,2810.4319501724817,16.1,1920x1080,2.19,3500,63,250,230.9
Acer,2023,AMD,mid,6,2.77,3.61,100,NVIDIA GTX,769,16,3600,NVMe SSD,512,3366.3971759448004,15.1,1366x768,1.69,6000,58,250,312.1
Asus,2025,Apple,low,4,2.15,2.42,100,NVIDIA GTX,767,8,3200,HDD,256,146.6641961466157,14.5,1920x1080,2.29,8000,48,250,274.0
HP,2019,Intel,high,8,2.45,3.93,100,NVIDIA RTX,955,16,4266,NVMe SSD,128,3365.367597238922,14.1,1920x1080,1.9,4500,107,250,380.0
Razer,2018,AMD,low,2,2.31,2.9,100,NVIDIA GTX,392,4,2666,NVMe SSD,1024,3078.8623643868673,16.5,1920x1080,2.09,4500,57,250,200.4
HP,2021,Apple,mid,4,2.71,3.49,100,NVIDIA GTX,416,16,4266,SATA SSD,512,431.01428081494373,16.0,1920x1080,1.84,6000,49,250,183.5
MSI,2024,AMD,low,4,1.89,2.09,100,NVIDIA GTX,583,8,3000,NVMe SSD,1024,3829.721687538138,15.8,1920x1080,2.34,6000,44,250,285.8
HP,2018,AMD,high,12,2.49,4.07,105,Integrated,106,16,3600,NVMe SSD,256,2520.833851965197,15.6,1920x1080,1.7,6000,30,250,136.4
MSI,2023,AMD,mid,8,2.22,2.93,100,NVIDIA RTX,787,16,3600,NVMe SSD,128,1942.0858482033534,15.2,3840x2160,2.0,4500,77,250,360.0
Lenovo,2020,Intel,low,2,2.39,2.92,100,NVIDIA GTX,768,4,2133,HDD,256,125.98908644296222,14.0,1920x1080,1.59,6000,45,250,326.5
MSI,2024,Intel,low,4,2.21,2.63,100,NVIDIA GTX,525,4,3000,NVMe SSD,512,3919.866578673379,15.5,1920x1080,2.0,8000,52,250,236.2
Dell,2023,Apple,mid,6,3.18,4.16,100,Integrated,105,16,2666,SATA SSD,256,437.774327190799,16.8,2560x1440,2.27,6000,34,250,109.7
Razer,2024,Apple,low,4,2.39,2.67,100,NVIDIA RTX,1417,8,2400,NVMe SSD,1024,3551.8923237737886,15.2,1920x1080,1.69,3500,48,283,542.2
MSI,2023,AMD,mid,8,2.64,3.46,100,Integrated,103,16,2133,SATA SSD,512,558.3757650670047,16.9,1920x1080,1.89,3500,28,250,54.9
Apple,2022,AMD,mid,4,2.51,3.08,100,Integrated,118,16,2666,SATA SSD,256,547.5875538981048,15.1,1920x1080,1.45,8000,24,250,187.3
Razer,2016,AMD,low,4,2.1,2.73,100,NVIDIA RTX,629,8,2133,SATA SSD,128,559.4552271314801,12.8,3840x2160,1.81,6000,56,250,219.6
Lenovo,2018,AMD,low,4,2.65,3.09,100,Integrated,20,8,3200,SATA SSD,256,435.01675845734957,16.4,3840x2160,1.99,6000,10,250,13.0
MSI,2017,Intel,mid,8,3.05,3.92,100,Integrated,46,16,3600,NVMe SSD,128,2513.9963202652857,16.0,1920x1080,1.98,6000,26,250,46.4
Asus,2020,Apple,low,4,2.07,2.54,100,Integrated,90,8,3600,SATA SSD,128,466.5590106508075,15.8,1920x1080,1.84,6000,25,250,88.8
Apple,2020,AMD,mid,6,2.69,3.12,100,AMD Radeon,300,16,3600,NVMe SSD,1024,3725.430108399827,14.8,1920x1080,1.85,3500,79,250,115.5
Dell,2020,AMD,low,4,2.35,3.01,100,Integrated,107,4,3600,NVMe SSD,128,2170.3653094177694,17.2,1920x1080,2.29,4500,12,250,107.5
Lenovo,2022,AMD,low,4,2.21,2.48,100,AMD Radeon,263,8,4266,NVMe SSD,128,3506.2071942896073,15.0,1920x1080,1.83,3500,55,250,191.3
HP,2017,Apple,high,8,2.67,3.86,100,AMD Radeon,239,16,3600,NVMe SSD,512,3074.5192798155945,18.3,1920x1080,2.02,3500,79,250,155.3
Asus,2022,AMD,low,4,2.31,2.74,100,NVIDIA RTX,904,8,3200,NVMe SSD,512,2634.1074377936034,16.3,1920x1080,2.58,6000,41,250,356.2
Acer,2024,AMD,mid,6,2.89,3.75,100,AMD Radeon,353,16,3600,SATA SSD,256,524.8065633264828,13.8,3840x2160,2.16,6000,59,250,108.0
Acer,2021,AMD,low,4,2.37,3.05,100,Integrated,75,8,3200,SATA SSD,1024,501.3639124595517,16.3,1366x768,1.8,4500,35,250,66.1
HP,2023,Intel,mid,4,2.94,3.58,100,Integrated,29,16,3000,NVMe SSD,512,2747.707277270751,14.6,1920x1080,2.13,6000,27,250,44.2
Lenovo,2025,Intel,mid,4,2.98,3.74,138,NVIDIA GTX,517,8,2666,NVMe SSD,512,2253.45392554129,16.8,2560x1440,2.28,6000,71,250,215.4
Razer,2020,AMD,mid,4,2.84,3.63,100,Integrated,110,8,2400,NVMe SSD,1024,3768.1927079149355,15.9,3840x2160,2.06,4500,36,250,124.0
Asus,2018,Intel,mid,6,2.48,3.43,100,Integrated,20,16,2666,NVMe SSD,512,2418.750242940414,16.2,2560x1440,1.74,3500,37,250,36.8
Asus,2019,AMD,low,2,2.19,2.58,100,Integrated,41,8,3000,NVMe SSD,128,2844.712438072539,15.0,1920x1080,1.67,4500,6,250,42.8
MSI,2016,AMD,high,8,3.09,3.72,100,Integrated,85,32,3200,NVMe SSD,256,3082.4877575693636,12.0,1920x1080,1.41,6000,41,250,134.2
Acer,2019,Intel,low,2,1.89,2.28,100,Integrated,33,8,4800,SATA SSD,256,528.7613924790757,17.9,1920x1080,1.95,3500,9,250,51.5
Dell,2021,Intel,low,4,2.38,3.05,100,NVIDIA GTX,648,8,3600,NVMe SSD,256,3488.349584821597,15.3,1920x1080,1.69,4500,50,250,332.5
Razer,2020,AMD,mid,6,2.95,3.72,100,Integrated,40,8,3600,NVMe SSD,512,2836.5206548710503,14.8,1920x1080,2.13,3500,30,250,103.4
HP,2025,AMD,mid,4,2.78,3.6,100,NVIDIA GTX,680,8,2666,SATA SSD,128,492.8174915179426,16.1,1920x1080,1.87,3500,73,250,261.9
Asus,2020,Intel,high,8,2.94,4.14,122,NVIDIA GTX,487,16,3600,NVMe SSD,512,2377.9943571095832,17.0,1920x1080,2.03,6000,83,250,147.4
Razer,2020,Intel,high,8,2.49,3.23,100,NVIDIA RTX,437,32,3000,NVMe SSD,256,2168.9528366343966,17.1,2560x1440,2.19,3500,87,250,213.9
Acer,2018,Intel,low,4,2.11,2.34,100,NVIDIA GTX,565,4,2666,NVMe SSD,512,2337.6232103809434,14.7,3840x2160,1.72,8000,53,250,283.2
Apple,2020,Apple,mid,6,2.54,3.48,100,AMD Radeon,186,16,2400,NVMe SSD,128,2719.730017670695,14.3,1920x1080,1.99,4500,62,250,116.2
MSI,2024,AMD,mid,4,2.46,3.32,100,NVIDIA GTX,718,8,3600,NVMe SSD,128,2359.228252708011,16.1,2560x1440,2.16,6000,59,250,232.1
Apple,2020,AMD,mid,6,2.74,3.67,100,NVIDIA RTX,636,16,4266,NVMe SSD,512,3609.987927622703,15.2,1920x1080,1.29,6000,62,259,252.5
Apple,2019,AMD,low,2,2.43,2.84,100,Integrated,20,8,3000,NVMe SSD,2048,3628.497378841533,14.4,1920x1080,1.59,3500,31,250,28.0
HP,2021,AMD,low,2,2.59,2.82,100,Integrated,77,8,2133,HDD,256,137.5415031274628,15.9,1920x1080,2.17,4500,12,250,47.4
Asus,2023,Intel,high,8,3.07,3.72,100,NVIDIA RTX,1072,16,3200,HDD,512,131.80238127804856,14.9,1920x1080,1.99,3500,80,250,420.4
Acer,2018,Intel,mid,6,2.93,3.8,100,NVIDIA RTX,1025,16,3600,NVMe SSD,512,2521.9396170626533,14.7,1920x1080,1.28,8000,60,250,404.9
Dell,2022,AMD,high,8,2.64,3.29,111,NVIDIA GTX,561,16,3000,NVMe SSD,256,2419.2909342560506,15.0,1920x1080,1.59,4500,76,250,275.7
Asus,2025,AMD,mid,6,2.7,3.46,100,NVIDIA GTX,578,8,3000,NVMe SSD,256,3335.7179236635434,16.8,3840x2160,2.28,6000,69,250,238.4
MSI,2020,AMD,mid,6,2.62,3.39,100,NVIDIA GTX,411,16,2666,NVMe SSD,256,1647.8721178035216,16.7,1920x1080,2.07,6000,48,250,189.6
Razer,2020,AMD,high,8,2.88,4.36,100,Integrated,70,32,3000,NVMe SSD,128,2754.568291320258,13.9,1366x768,1.94,3500,43,250,105.1
Asus,2024,Intel,mid,8,2.93,3.75,100,Integrated,30,16,2666,SATA SSD,256,461.9083949709738,15.6,3840x2160,1.92,3500,22,250,25.4
Razer,2024,AMD,mid,6,2.56,3.32,112,Integrated,139,16,3200,NVMe SSD,256,3504.972309334149,18.3,1920x1080,1.77,4500,27,250,183.1
HP,2021,AMD,low,4,2.18,2.63,100,NVIDIA GTX,485,8,3600,NVMe SSD,512,2188.638705237054,17.1,1366x768,2.15,4500,54,250,196.4
MSI,2019,AMD,low,4,2.39,2.97,100,NVIDIA GTX,323,4,3200,SATA SSD,256,492.9760312825275,18.0,1920x1080,2.03,6000,59,250,183.7
Asus,2022,Intel,high,12,3.12,4.24,153,AMD Radeon,553,16,4266,SATA SSD,512,497.1230530923841,15.3,1920x1080,2.21,6000,61,250,297.7
Apple,2022,AMD,mid,4,2.64,3.6,100,NVIDIA RTX,1286,16,2666,NVMe SSD,256,3747.6776936684623,15.2,1920x1080,1.12,6000,66,437,509.2
Acer,2020,Intel,low,4,2.08,2.74,100,Integrated,45,8,2400,SATA SSD,512,509.44285376171445,14.9,1920x1080,1.38,4500,14,250,190.7
MSI,2016,AMD,mid,6,2.96,3.74,100,NVIDIA RTX,726,16,2666,SATA SSD,128,484.9283303977432,14.5,1920x1080,1.67,6000,65,250,275.4
Asus,2019,Intel,mid,4,2.55,3.38,100,Integrated,71,8,2666,NVMe SSD,256,2850.8726640869722,16.9,1920x1080,2.08,3500,26,250,48.0
MSI,2019,AMD,mid,4,2.45,3.07,100,NVIDIA GTX,361,16,2666,NVMe SSD,512,3423.1833082887433,15.1,2560x1440,2.12,6000,59,250,150.0
Acer,2019,Intel,mid,6,2.34,3.22,100,AMD Radeon,420,16,2133,HDD,512,136.23221387107978,17.2,1920x1080,2.15,3500,58,250,193.6
Asus,2022,AMD,mid,8,2.34,2.87,101,Integrated,20,16,2400,NVMe SSD,256,3113.456604668247,14.7,1920x1080,1.81,3500,27,250,101.4
MSI,2025,Intel,mid,6,2.66,3.25,100,NVIDIA RTX,1629,16,2400,SATA SSD,1024,573.2101675571889,14.7,1920x1080,1.84,4500,70,362,578.6
